Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,112.15,-116.8,0.0,top
C2,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,178.7,-112.45,180.0,top
C3,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,161.125,-91.3,90.0,top
C4,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,112.15,-148.45,0.0,top
C5,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,198.1,-108.2,0.0,top
C6,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,198.25,-130.75,90.0,top
C7,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,147.6,-109.05,-90.0,top
C8,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,112.55,-101.05,0.0,top
C9,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,171.45,-111.05,90.0,top
C10,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,152.2,-146.15,90.0,top
C11,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,147.6,-136.05,90.0,top
C12,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,112.3,-132.7,0.0,top
C13,10uF,C_Disc_D3.0mm_W2.0mm_P2.50mm,193.8,-103.35,90.0,top
C14,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,205.95,-101.05,-90.0,top
J1,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,99.171,-109.6834,180.0,top
J2,UART_A,PinHeader_1x06_P2.54mm_Vertical,215.45,-102.33,180.0,top
J3,PWR,PinSocket_1x02_P2.54mm_Vertical,206.96,-141.05,90.0,top
J4,SPI,PinHeader_1x06_P2.54mm_Vertical,215.45,-121.4,180.0,top
J5,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,205.3,-147.435,180.0,top
J6,CS2,PinSocket_1x01_P2.54mm_Vertical,208.714,-121.4,0.0,top
J7,Micro_SD_Card,microSD_HC_Hirose_DM3AT-SF-PEJM5,211.135,-131.13,90.0,top
J8,DB9_Male_MountingHoles,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,178.75,-142.75,0.0,top
R1,5.1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,217.2,-140.94,-90.0,top
R2,5.1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,213.65,-140.89,-90.0,top
R3,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,180.44,-100.8,0.0,top
R4,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,180.44,-96.25,0.0,top
R5,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,180.44,-105.4,0.0,top
RN1,3.3K,R_Array_SIP8,210.75,-116.25,90.0,top
U1,74LS139,DIP-16_W7.62mm_LongPads,157.475,-86.325,-90.0,top
U2,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,113.45,-124.85,90.0,top
U3,AS6C4008-55PCN,DIP-32_W15.24mm_LongPads,127.8,-101.9,0.0,top
U4,AS6C4008-55PCN,DIP-32_W15.24mm_LongPads,152.0,-101.9,0.0,top
U5,MCP2221AxP,DIP-14_W7.62mm,187.1,-120.625,0.0,top
U6,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,113.45,-140.7,90.0,top
U7,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,135.35,-110.2,0.0,top
U8,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,135.45,-135.645,0.0,top
U9,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,159.6,-110.2,0.0,top
U10,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,159.65,-135.645,0.0,top
U11,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,113.5,-109.0,90.0,top
U12,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,113.75,-93.3,90.0,top
U13,MCP23S08-E_P,DIP-18_W7.62mm,171.05,-117.0,0.0,top
U14,74LVC125,SOIC-14_3.9x8.7mm_P1.27mm,201.75,-117.55,270.0,top
U15,AMS1117-3.3,SOT-223-3_TabPin2,199.7,-100.2,90.0,top
