"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6,U2,U1,U4,U3,U5";"DIP-18_W7.62mm_Socket_LongPads";6;"41464";;;
2;"R4,R6,R5,R3";"R-0207_10";4;"100R";;;
3;"IC1";"sdip64";1;"V9958";;;
4;"C28,C27,C26,C25,C24,C11,C10,C9,C6,C5,C4,C3,C2,C1,C8,C7";"C_Rect_L7.0mm_W2.5mm_P5.00mm";16;"100nF";;;
5;"C15,C16,C19,C18,C17";"CP_Radial_D6.3mm_P2.50mm";5;"220uF";;;
6;"REF**";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
7;"REF**";"SM-rosco_m68k_logo";1;"SM-rosco_m68k_logo";;;
8;"C14,C23";"CP_Radial_D5.0mm_P2.50mm";2;"100uF";;;
9;"C20,C22,C21";"CP_Radial_D5.0mm_P2.50mm";3;"10uF";;;
10;"Q3,Q5,Q4";"TO-92_Inline";3;"2N3906";;;
11;"IC3,IC2";"DIP-20_W7.62mm_LongPads";2;"ATF16V8BQL-15";;;
12;"R15,R14,R13,R2";"R-0207_10";4;"1K";;;
13;"R12,R10,R8";"R-0207_10";3;"12K";;;
14;"R11,R9,R7";"R-0207_10";3;"27K";;;
15;"R1";"R-0207_10";1;"4K7";;;
16;"Q2";"TO-92_Inline";1;"2N3904";;;
17;"Q1";"HC49_S";1;"21.477MHz";;;
18;"J3";"din-6";1;"DIN-6";;;
19;"J2";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x06_Counter_Clockwise";;;
20;"J1";"pin-2X32";1;"Conn_02x32_Odd_Even";;;
21;"C13,C12";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"22pF";;;
